,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
173,Essex,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Near freezing,"4-8""",Not Observed,Moderate Amounts,Light,,"Feb 6, 2024","Feb 7, 2024",,public,"•Coverage in the Middle Fork is scant below 5500' depending on tree canopy (in relation to snowfall intercept). Our descent line took us through a burn scar where there was a deeper base which allowed us to conservatively ski to 4500'.  •The supportable crust from our last warm up existed to our high point of 7400'•Recent snow (4-8"") made for enjoyable riding on low angle terrain. We did ski a steeper run (38*/SE) and could feel the underlying crust when turning. •The backdoor cold front that came in Sunday had buffed/scoured upper ridgelines and deposited dense wind slabs along atypical aspects (W). These windslabs (16"") were unreactive and stomping cornices was like trying to stomp a curb.•Winds remained calm (although southeasterly when present) and sunshine prevailed throughout our tour. Overall, temps hovered right around the freezing mark but surface snow (up to 7400') on solar aspects was beginning to warm. •During our descent, we triggered a point release, wet, loose avalanche (D2) that ran half-path (2000'). It's origin was slow and steady as it gradually scoured away the recent snow and slid readily on the crust. •Boot-top, cold powder was experienced all the way to the railroad tracks and skied best in low angle terrain.",Avalanches Observed  Avalanches Triggered,"Generally stable conditions prevailed. Recent snowfall began to warm on solar aspects, but remained dry on northerlies. Numerous point release, loose dry sloughs (D1) were observed in steeper, shaded terrain, while point release wet, loose avalanches (D1-D2) were observed on solar prone aspects.",48.402214,-114.13365,We climbed a NE ridge from 3800' to 7400' and descended a SE ridge.,,,,
174,Skook Face,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Feb 5, 2024","Feb 5, 2024",,public,"Skied 2-4"" of dust on a stout crust, with southern aspects holding more snow than northern ones. Experienced minor sluffing on steep test slopes. Wind transport of new snow seemed minimal, with snow still on branches near ridgelines. Otherwise no other signs of instability. A light on/off snowfall increased in intensity on our mid-afternoon exit, with a half inch accumulating on the cars in the parking lot.",None Reported,,48.402214,-114.13365,,,,,
175,Jewel Basin / Radio Towed,Swan Range,,Skiing/Snowboarding,,,,,,,,"Feb 5, 2024","Feb 6, 2024",Kaleb Retz,public,Sledded up Jewel Basin road to the cabin and then toured up to the radio tower. Sidehill skinning was sporty to say the least with the new snow sluffing off on the rock hard crust below. New snow ranged between 4-8” and was variable and lightly wind blown. On the radio tower ridge we observed cross loading and uphill cornices across the entire ridge. The drop in to Picnic Lakes was very low vis and icy as all the snow had sluffed off. The Lower elevation/angle skiing into Black Lake was much better.,Cracking Observed (isolated),,48.402214,-114.13365,,,,,
176,Elk Mountain,Flathead Range & Glacier NP,FOFAC,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",28,3,Not Observed,Not Observed,Not Observed,,"Feb 5, 2024","Feb 5, 2024",,professional,We noticed considerable melt had occurred at the trailhead and this was no different as we made our way to the turnoff for Elk.  It would appear that the warm temperatures and rain in the last week reduced the snowpack to very little on all aspects up to 7000' in this area.  We noted many exposed rocks and trees on the majority of aspects of Elk and Sub-shields that typically are far beneath the surface by this time of year.  Anyhow great day for a walk to Ole Creek.,None Reported,None observed,48.402214,-114.13365,"Typical Elk Mountain approach from trailhead to the south on Fielding Trail.  Intent was to summit Elk and ski the the SW gully off of the summit. Observed E, W and S aspects predominantly.",,,,
177,Mount Brown,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Not Observed,2,Not Observed,Small Amounts,None,"Cool, cloudy, and calm day in the West Glacier region/McDonald Valley today. Light snow showers (S1) entered the valley around 2:00pm. By 3:30 rates picked up to S2 and are holding steady there all the way to canyon floor elevations. Roughly 2cm has accumulated so far as of 5:30pm.","Feb 5, 2024","Feb 5, 2024",Jackson George,professional,"Spent the afternoon continuing clearing efforts up the Sperry/Mount Brown Trail and assessing general snow coverage and access conditions. We are completely clear of downfall to 4800' aside from one large tree that was a bit much for my saw (easy step over/walk around). Might spend one more day up there soon to try and get things tidied up to 6000 or so. There was quite a bit of downfall so far this year, so for those of you who dealt with that recently, you will be glad to see a clean slate next time you come up. At least until the next big wind event...",None Reported,"Good stability at lower elevations, but much danger by proximity to many unburied objects.",48.402214,-114.13365,Lake McDonald Lodge to about 4800' on the Mount Brown Lookout Trail.,,,,
178,Jewel Basin,Swan Range,,Skiing/Snowboarding,,,,,,,,"Feb 5, 2024","Feb 6, 2024",,public,"Headed to Jewel to see if the inch of SWE reported on the Snotel was accurate. An inch seemed a bit optimistic as general new snow depth near Camp Misery in the morning was 4-6 inches of dry snow. Underlying crust pencil hard. Summited Radio Ridge just as west winds and clouds moved in, followed by moderate snow the rest of the day. The recent NE winds had stripped the upper east faces of all new snow, leaving bulletproof entrances and interesting ridge top sculptures. Lower faces and all terrain down to Black Lake had 4-6 inches new snow on the crust. Decent skiing but still bottoming out. Surface sluffing but new snow bonded well to crust. Upper SW slopes held the deepest snow, loaded from the recent NE winds. Snowed all afternoon with strong ridge top winds out of the west. Each run got a little better and sleds had 2 inches on them by 3 pm.",Cracking Observed (isolated),,48.402214,-114.13365,,,,,
179,Rescue Creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Feb 5, 2024","Feb 5, 2024",,public,"Firm crust, no whoomph, for skinning with increasingly more dry-fresh sitting on top as we ascended. Three debris piles above 5000 ft from apparent wet-loose a few days old. We observed crowns along the largest path suggesting it reached a deeper, weak layer. This large debris pile came from the SE aspect of penrose. Two smaller piles ran down from the N aspect of the drainage. Cornices stood on the ridge of this lee aspect.",Avalanches Observed,Dry-loose of greatest immediate concern. New snow throughout the day continued to bury a recently formed week layer.,48.402214,-114.13365,Rt. 2 to 6000 feet N aspect in western-most drainage of rescue creek. Traversed to ski E aspect.,NESWNWNESESW,Not Observed,Not Observed,Not Observed
180,Dorothy’s,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Feb 4, 2024","Feb 4, 2024",,public,"Today was like an unexpected April pow day…very low expectations but we still had some fun turns. The slide on Dorothy’s may have already been reported but it was likely a wet slab that broke free during the warm up of last week. It was in the skiers right bowl and the debris pile was much larger than expected. We could see a crown in the top of the bowl, and I would say the size was D 2.5-3. We didn’t dig a pit as everything was pretty much locked up, and we skied slopes above 35 degrees with some slough to manage. Despite the winds on the front of WMR, we experienced minimal wind or wind affected snow throughout our tour. Probably 4-5” of new snow on top of the crust at most elevations.",None Reported,,48.402214,-114.13365,"We went to Skook and Dorothy’s with low expectations but we’re pleasantly surprised with some pow skiing (albeit with a crust underneath). It was like an unexpected April snowstorm with below freezing temps.  

The slide on Dorothy’s may have already been reported but it was the skiers right bowl off the top. The debris pile was much larger than expected and based on the character of the pile, it was a loose, wet slab that broke free before the cold front of last night. We could see a crown at the top of the bowl and I would estimate size being D 2.5-3. See photo. 

We didn’t dig a pit as everything was pretty well locked up. Despite strong wind effect on the front of WMR, we experienced minimal wind impacted snow on our tour. 

Everything was",,,,
181,Tunnel Ridge,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Not Observed,14,Not Observed,Small Amounts,None,"Very light snowfall prevailed all day, but only amounted to a trace. Cloud cover began to break up around 4:00pm. Calm winds all day. Even at our high points of ~6800 on the ridge. Not even a breath up there. Observed some recent small drifts in the new snow at ridgetop to suggest that light winds might have been present overnight.","Feb 4, 2024","Feb 5, 2024",Jackson George,professional,"Day off investigating the skiing on the other side of the river. Expectations were low today, but they were also exceeded. We rejoiced to find measurable amounts of new snow, cool temps, and a nice windless day in the Middle Fork.• If I worked for the Middle Fork marketing team, which I don't, I'd tell you tales of surfy pow and the deepest three inches we've ever seen. Instead, I'll tell it like it is. It's still pretty rugged out there; we've got a shallow snowpack and messy woods. The good news is that things don't look too far from normal up high.  We've got almost two meters of snow on the ground above 6200'. • Today, we found a stout supportable crust that aided our travels through the brushy bottoms, and a skiff of new snow from the last 48 hours to gift us with a good day of skiing. No signs of instability aside from some minor sloughing experienced on slopes steeper than 35 degrees. Would expect more significant sloughing possible on slopes that are continuously 35+ degrees for long distances.",None Reported,Snowpack stability was good today. Manageable sloughing on upper elevation slopes steeper that 35 degrees.,48.402214,-114.13365,"Highway 2 (3800') up to Tunnel Ridge (6800)'. Skied two laps up high before exiting back the way we came. First lap on a west facing slope, and second on northeast facing.",,,,
182,Marion/Essex Creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Not Observed,10,Not Observed,Moderate Amounts,None,"Despite the sun trying to peek out throughout the day, it kept snowing lightly for most of the day accumulating an additional trace of new snow (so deep right now!) with pleasant below freeing temperatures (finally) and not even a hint of wind (lovely). The sun started to poke out around 4pm!","Feb 4, 2024","Feb 4, 2024",Zachary Miller,public,"We enjoyed a pleasant day up Marion with fun light new snow on a stout generally supportable crust. We saw a variety of old avalanches, triggered a variety of small predictable sluffs, and giggled a whole lot. Skinning/skiing conditions were variable and mildly technical due to the stout crust.",Avalanches Observed,No obvious signs of instability noted aside from an unexpected propagating result in a stability test (mentioned in snowpack section),48.402214,-114.13365,Up from Essex via the Marion Lake trail then across the lake and nabbed a couple laps off the shoulder before exiting via Essex Creek.,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
183,Big Slide,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Feb 4, 2024","Feb 7, 2024",,public,"From travels on 2/4 and 2/5 I found no evidence that slab avalanches or any sizable wet loose slides had run on Big Slide during the last extended warm spell.   Under the 10-15cm of recent snow the crust was smooth and supportive.   I chose to take a day off on 2/6.  On 2/7 I returned to Big Slide to find that most  of the face below the rocky band had been raked by roller balls up to 6"" in diameter, and at least one D1 point release avalanche .    (No surprise, given Tuesday's sun and warm temps.)   Luckily,  Wednesday morning was  much sunnier than predicted.  At 10:00am the surface sun crust was    supportive from 6200' to 5200' on a SE aspect.  Skied like a groomer.  At noon, the sun had softened the    2/6 crust to a pleasantly ignorable condition.   Skied pitches of 30-40 degrees in less rocky (and thus non-rollerballed) areas.    Descended into the cloud deck at about 5200' at 12:15pm.    On an open, west-facing slope in the cloud I found a breakable surface crust from 5200' to 4800'.   Below that there was just barely enough snow in the forest to make my way out on skis.Investigation of the substantial Early February crust was limited to ski pole probing.   Did not dig to investigate what may lurk under that crust.On shady NE-facing slopes the surface snow was faceted and made for mildly challenging skinning given the slick crust it sat on.",Avalanches Observed,,48.402214,-114.13365,,,,,
184,WMR backcountry Burn Zones,Whitefish Range,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",30,5cm,Not Observed,Small Amounts,None,"Cloudy skies, seasonal mild temperatures and light snow was enjoyable","Feb 3, 2024","Feb 3, 2024",,public,The snowpack at upper elevations locked up nicely and it was fun to ski the fresh 1-2 inches on smooth steep surfaces. Traveling was difficult at upper elevations because of the firm surface below the new snow. I always had to find lower angled slopes to ascend and at one point booting was deployed to gain elevation.,None Reported,"Small amounts of new snow would sluff or roller ball steeper terrain,  but never piled up or ran fast.",48.402214,-114.13365,"Was hoping to take advantage of the Snowpack finally freezing at upper and mid elevations so the plan came together staying up high and skiing S facing  burn zones heading east from WMR.  All of the S facing burn runs were smooth with no avalanche debris in them. Each run skied liked the late season Spring storm that feels like it keeping the season alive! The new snow 1-2 inches of rather dense pow roller balled/ sluffed on steeper slopes, but it was never enough to pile up.  On the final decent I skied from 6300' to 4600'and enjoyed the supportable again Spring like conditions to a Stoltze road and xc home.",,,,
185,Hellroaring peak,Whitefish Range,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Not Observed,5,Not Observed,Small Amounts,None,light snow fall with little wind. Sun have little effect on the snowpack,"Feb 3, 2024","Feb 3, 2024",,public,"At the elevation that we dug our pits, we observed a robust crust under the 5cm of new snow. The near surface crust was thicker on our SE pit. The upper portions of the snow pack was starting to refreeze and decrease in water content. New snow seemed heavy and was binding well to the supportable curst.",None Reported,No instabilities observed.,48.402214,-114.13365,"We skied out of the WMR boundary at Taylor creek road. We left the road and gained the ridge to 6,500 ft below Hellroaring peak where we dug pits on the SE and NE aspects of the ridge. From our pits, we descended back to the resort onto Hellfire ski run.",,,,
186,"""Butterfield Bump""",Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",30 to 33,8 to 10 cm,4600,Small Amounts,Light,"Rain on the drive to the trailhead. Mixed precipitation turned to snow as we gained elevation on sleds. Low clouds all day limited our visibility. Snow flurries on and off throughout the day. Easterly winds along the continental divide.
Rain/ snow line climbed during the day, from roughly 4000' to 4600'","Feb 3, 2024 (8:30) - Feb 3, 2024 (17:00)","Feb 3, 2024",Sarah Williams,forecaster,"Our sled and ski tour to the Skyland area today started and ended in the rain. However, the middle of our day included some nice turns in new snow.

3 inches of new dense snow at 6100 feet and 4 inches of dry snow at our high point of 7700 feet.
Skiing was creamy on a supportable crust. Described best: ""cream cheese on burnt toast.""
Blowing easterly winds were forming thin wind slabs at the ridge of the Continental Divide.
The stout crust was supportable on most surfaces and ranged from 15 to 20 cm deep. 
We managed harmless sluffing of the new snow on the crust on steep slopes. 
Visibility was limited, so our observations of recent avalanche activity was limited. See the avalanche tab for more details.",None Reported,We experienced harmless sluffing of the new snow on the underlying crust.,48.402214,-114.13365,"End of Skyland Road, west-facing slope of the Continental Divide",NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
187,Flathead Range,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",35,Not Observed,Not Observed,None,Not Observed,Good visibility.  Mild.,"Feb 2, 2024","Feb 2, 2024",,public,Old wet slab debris from early in the week.,None Reported,none observed that occurred today,48.402214,-114.13365,Up summer trail with views of headwall above lake.  Travel was limited to lower elevations.  Avalanches  observed we’re around 5500 ft on N/NW aspects,NESWNWNESESW,IsolatedSpecificWidespread,Not Observed,D1D2D3D4D5
188,Rescue Creek,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",30 to 35,none.,Not Observed,None,None,There was a little blue sky in the morning and overcast in the afternoon. No wind and most of the day was above-freezing air temperatures.,"Feb 2, 2024","Feb 2, 2024",Sarah Williams,forecaster,"We headed to the Rescue Creek drainage today, looking for evidence of the past week's avalanche cycle.

Travel into the basin was fast on the supportable crust that was knife-hard to 4600 feet. 
Above 4600 feet, the crust became gradually less supportable and skinning was challenging.
Using binoculars, we spotted multiple fracture lines on an NE aspect approximately at 6,700 feet (see avalanche tab for more).
Wet avalanche activity was observed on many slopes.  Most appeared to be wet loose (soft slab) debris rather than wet slab avalanches.
Runnels dominated most of the surface snow.  They were spotted on every slope aspect and initiated from the tops of ridgelines.
One seasonal glide crack appeared to be opening on a SE aspect, at 7000 feet.",None Reported,"No recent instability was observed, except that the surface crust became less supportable as we climbed in elevation.",48.402214,-114.13365,,,,,
189,Firebrand Pass Basin,Other,,Skiing/Snowboarding,,,,,,,,"Feb 2, 2024","Feb 2, 2024",,public,Traveled into various slopes in Firebrand Pass.   Weather and snow pack reflected a typical spring backcountry day with no significant findings:-Thin snow pack throughout the travel region had a good overnight freeze which produced a supportable crust which made travel easy-Temperatures did get above freezing during the corn cycle in the afternoon.   No wet slides observed today or evidence during of any activity during this last weeks avalanche cycle-We did dig into the snow pack on a SE aspect and discovered rounding of the facets-,None Reported,,48.402214,-114.13365,,,,,
190,Skook Face,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",40,0,Not Observed,None,None,Temperature inversion with balmy conditions early in the morning at mid and upper elevations. Light wind kept the snow slightly cooler in the open compared to sheltered terrain.,"Feb 1, 2024","Feb 1, 2024",Mark Dundas,forecaster,"We visited the southern Whitefish Range to examine a natural slab avalanche on the popular side-country run Skook Face.

The avalanche occurred on the skier's right side of the broad Skook Face, where the slope angle pushes 40 degrees. Debris was large enough to bury or injure a human. Please see the avalanche tab for more information.
We noted multiple slabs and loose slides in the Skook Chutes from recent warming. The generally thin snowpack limited the slides' travel distance and destructive size. Please see the avalanche tab for more information. 
The thin snowpack on the Skook Face was an eye-opener. The lack of a well-defined cornice line on Skook Ridge at this time of year is unheard of.",Avalanches Observed,"I initiated small, harmless rollerballs on steep slopes with wet surface snow.",48.402214,-114.13365,,,,,
191,Mt Brown,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Feb 1, 2024","Feb 1, 2024",,public,"Updates for those interested: 
3k-4K: some nice soul spent their day skiing and cutting trees up just past the mt brown junction. Thank you. Easily skinnable with sometimes spicy ski.
4K-5k: barely skin able, we walked down
5k+: semi supportive and semi skiable until you wrap around and it goes due south. Snowpack here is totally isothermic, about 120 cm, and train track like skiing. Roller balls otherwise nothing much today.",Avalanches Observed,,48.402214,-114.13365,,,,,
192,East Flat top,Other,,Driving,Clear (No clouds),55,0,Not Observed,Moderate Amounts,Previous,"Yesterday temperatures reached well above freezing even above 8,000 ft.","Jan 31, 2024","Jan 31, 2024",,public,Presence of wet slab avalanches,Avalanches Observed,55 degrees in St Mary yesterday and several loose wet slides were observed.,48.402214,-114.13365,Large avalanche which stepped down to the ground yesterday on the east side of Glacier NP. Estimate the crown to be several feet thick on the left side of the frame.,,,,
193,Browns Bowl / Peters Ridge,Swan Range,,Other,,,,,,,,"Jan 31, 2024","Jan 31, 2024",,public,Avalanches observed at great distance through telescope (and trees).  Photos graciously supplied by a friend who lives nearby this location.,Avalanches Observed,,48.402214,-114.13365,Avalanches observed at great distance through telescope (and trees).  Photos graciously supplied by a friend who lives nearby this location.,,,,
194,"Bison Mtn, GNP",Other,,Walking/Hiking,,,,,,,,"Jan 31, 2024","Jan 31, 2024",,public,"Temps were around 45, mostly sunny skies, minimal wind, very low/no snowpack throughout the region. 
Walking > Skiing sometimes.",Avalanches Observed,,48.402214,-114.13365,,,,,
195,Shed 7 Middle Ridge,Flathead Range & Glacier NP,USGS,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",45,0,Not Observed,None,None,Lovely day out with direct sunlight most of the day. Water production at the snow surface slowed down/shut off with increasing cloud cover at 2:15pm.,"Jan 30, 2024","Jan 30, 2024",,professional,"We observed wet, warm, and shallow spring-like conditions throughout our tour and experiments today.",Avalanches Observed  Collapsing Observed (isolated),We experienced a few local collapses while ascending and descending most likely from failure of the well developed (yet rounding) facets below the decomposing late December crust.,48.402214,-114.13365,"We toured (hiked and skinned) from the Shed 7 pullout at 4400' to our high point at 6500' on SW, S, and SE aspects along the Shed 7 East ridgeline. We chose to avoid the avalanche path runout areas as much as possible given the potential hazard for large destructive natural avalanches and stuck to the thick timber. We ended up bootpacking to ~5500' before switching to skis.",NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
196,Noisy Basin,Swan Range,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",34,0,9000,None,None,"Valley inversion with isolated clouds. Light winds kept the snow surface cold, but ambient air temp was above freezing once we left the valley floor.","Jan 30, 2024 (8:00) - Jan 30, 2024 (15:30)","Jan 30, 2024",Jeff Metsky,professional,,Avalanches Observed,Snow surfaces not recieving direct sunlight were locked up tight. Solar aspects were softening near the surface. Felt like a spring snowpack while traveling above 6500'.,48.402214,-114.13365,Parking area to Camp Misery to Noisy Basin SNOTEL site. Ascend to Aeneas Ridge and return to sleds at SNOTEL site,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
197,JFS Canyon - Running Rabbit Mtn,Flathead Range & Glacier NP,BNSF Avalanche Safety,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",Not Observed,0,Not Observed,None,None,"•	Scattered clouds with no precipitation and light winds from the SW.
•	Inverted air temperatures in the morning with a superficial refreeze of the surface snow up to about 5000’ elevation. Overnight temps only dropped to the high-30s °F above 5000’.
•	Daytime highs reached the mid-40s to low-50s °F on the Canyon floor and the mid-40s °F above 6000’ elevation.","Jan 30, 2024","Jan 30, 2024",Adam Clark,professional,"•	No new avalanche activity observed today save for one little D1 wet slab we triggered while skinning up the ridge. This occurred at about 6800’ on a SW aspect, 38° slope.
•	Observed a more recent looking crown that likely ran yesterday on the east face of Snowshed Mountain in the Flathead Range, HS-N-R2-D2-O.
•	Hanging Tree Main also ran, likely sometime on Sunday, Jan. 28th, HS-N-R4-D2-O. This crown extended across the path. A few hundred feet below the crown, the debris gouged to the ground and took out the winter’s snowpack. Debris terminus location could not be determined.
•	We investigated the crown of the previously reported a large avalanche that ran in the I-Beam Main path, HS-N-R3-D3-O.
o	We suspect this ran sometime on Sunday, Jan. 28th. There was some more recent snow on the crown and inside some 2-3” cracks separating sections of slab that failed, but then arrested on the slope.
o	The failure layer was the faceted snow resting on top of the now much decomposed late Dec. crust (pit profile).
o	Debris ran about 1500 vertical feet to near 5800’ elevation terminating well above the highway.

•	Snowpack is rapidly melting below 5500’ with plenty of bare patches showing up on sunny slopes.
•	We experience numerous audible collapse that became more frequent as we travelled above 6000’ elevation.
•	Snowpack structure is poor with facets around the late December crust along with faceted layers beneath the crust that are now becoming weaker with the presence of liquid water.",Avalanches Observed  Avalanches Triggered  Cracking Observed (specific)  Collapsing Observed (widespread),,48.402214,-114.13365,"•	Ski tour up the ridge dividing the I-Beam and Hanging Tree Main avalanche paths on the west face of Running Rabbit Mountain.
•	Objectives were to investigate the recent avalanche activity in this area and look for any new avalanches.",,,,
198,Cental Glacier Park,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),Driving,"Few (Mostly Clear, up to 2/8 covered)",above freezing,0,Not Observed,None,None,A very foggy morning broke down by the afternoon. partly sunny skies with increasing cloud cover towards the continental divide. Light winds and warm.,"Jan 30, 2024","Jan 30, 2024",Jackson George,professional,Crappy day for skiing. Great day for looking around. We've had a productive avalanche cycle in Central Glacier Park this week. Installed the Isaac Walton/Essex beacon checker this afternoon. Thanks Flathead Nordic Backcountry Patrol!,Avalanches Observed,Poor refreeze recently and unseasonably warm temps have resulted in a productive avalanche cycle with wet slabs on PWL and loose wet activity. Forecast verified.,48.402214,-114.13365,Recent avalanche activity viewed from Going-to-the-Sun Road.,,,,
199,Canyon Creek,Whitefish Range,Swan Mountain Snowmobiling,Snowmobiling/Snowbiking,"Overcast (Cloudy, 8/8 covered)",40,0,Not Observed,Not Observed,Not Observed,,"Jan 29, 2024","Jan 29, 2024",,professional,"I observed at least 5 slides in the fiberglass area of the canyon creek trail. One slid made it out on to the trail, the rest were well above. Snow was wet and loose with many roller balls throughout the trail.",Avalanches Observed,,48.402214,-114.13365,,,,,
200,JFS Canyon - Running Rabbit Mountain,Flathead Range & Glacier NP,BNSF Avalanche Safety,Driving,"Few (Mostly Clear, up to 2/8 covered)",Not Observed,0,Not Observed,None,None,Daytime high temps reached 50 deg F on the Canyon floor and into the 40s up at 6000-7000 feet elevation,"Jan 29, 2024","Jan 29, 2024",Adam Clark,professional,"Observed multiple hard slab avalanches that ran sometime in the previous 24 hours on the west face of Running Rabbit Mountain. Also two, D2 size wet loose events on the south face of Running Rabbit that ran 1500-2500 vertical feet. See avalanche tabs.No recent avalanches observed yet on more shady aspects at upper elevations.Thick fog kept me from viewing any distant upper elevation from West Glacier until I was just west of Essex.Wet loose avalanche and slab avalanche activity on the Canyon floor has mostly ended. The snowpack here appears to have adjusted to the warming and has begun draining water as it is rapidly melting.",Avalanches Observed,,48.402214,-114.13365,Road observations from Highway 2,,,,
201,WMR Canyon,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Jan 29, 2024","Jan 29, 2024",,public,"Soggy, foggy, recent rain. Looked like the snow was peeling off the canyon walls. Photos taken from Flower Point Ridge Run around noon.",Avalanches Observed,,48.402214,-114.13365,,,,,
202,Hungry Horse Dam/West Side Flathead Range,Flathead Range & Glacier NP,Flathead Avalanche Center,Driving,Clear (No clouds),Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,,"Jan 29, 2024 (14:30) - Jan 29, 2024 (15:30)","Jan 31, 2024",Cam Johnson,forecaster,Drove to the Hungry Horse Dam on Monday (1/29) and Wednesday (1/31) to glass terrain on the west side of the Flathead Range. Generally unimpressive avalanches. Most avalanches failed mid-slope. I'm guessing these failed on 1/28.  No new avalanche activity observed on 1/31.,Avalanches Observed,,48.402214,-114.13365,,,,,
203,Red meadow lake to Upper Whitefish Lake,Whitefish Range,,Snowmobiling/Snowbiking,Obscured (Sky not visible due to fog or non-cloud layer),28-32,Not Observed,Not Observed,Not Observed,Not Observed,Weather was overcast and rainy during entire ride. At red meadow was foggy but not cold enough for ice or snow,"Jan 28, 2024","Jan 28, 2024",Craig Guthrie,public,Saw several avalanches in a short period of time. Did a beacon check with all and and nothing observed. Snow was wet and rain while on trail. Didn’t travel off trail with avalanche activity observed,Avalanches Observed,,48.402214,-114.13365,Ride snowmobile from red meadow Dr and north fork rd to upper whitefish lake,,,,
204,Blacktail Mt.,Other,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",32,Not Observed,5000,Not Observed,None,"Misting rain at 6600 ft at 1pm, turned to snow at 2 pm .","Jan 27, 2024","Jan 27, 2024",,public,"Had a large whoomph on low angle slope, heavy wet snow on top",None Reported,"Northeast facing slope under 20 degrees large whoomfing, surgary faceted grains near ground, snow falling from trees, rapid temperature increase.",48.402214,-114.13365,,NESWNWNESESW,Not Observed,Unknown,Not Observed
205,Sub Shields,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Jan 27, 2024","Jan 27, 2024",Zachary Miller,public,"We found ~10 cm of new cold snow above 6k' with a generally well-consolidated slab overlying a facet/crust combo over varying depths dependent on elevation/aspect. Entry and exit is still a bit schwacky due to low snow, but was expected and par the course.We dug a pair of pits with similar ECTP results with hard force on the facet/crust interface (SE and NE at 6550' and 6890' respectively) below the well consolidated slab of recent snow.We observed no obvious signs of instability, avoided slopes >35* and skied SE, E and NE aspects during our casual tour. The skiing was surprisingly good above 6k' and predictably damp but doable below that.",None Reported,,48.402214,-114.13365,,,,,
206,Elk Mtn,Flathead Range & Glacier NP,,Skiing/Snowboarding,Obscured (Sky not visible due to fog or non-cloud layer),Not Observed,1-4 cm,5000-5200,Not Observed,Light,"Small skiff of overnight.Arrived with temperatures above freezing,  Throughout our tour, temperatures were at freezing or slightly above despite the rain turning to snow slightly above 5000’.   Light precipitation compared to down the further towards the Flatheads,  Only about 1cm accumulation during our tour.","Jan 27, 2024","Jan 27, 2024",,public,,Collapsing Observed (specific),"Open spaces, non treed above 6000’",48.402214,-114.13365,"Traveled up Elk Mtn, hoping to ski typical west slopes into Fielding GS.  Found signs of instability above 6000’ so stuck so decided to ski more conservative terrain.  Very little precipitation during day compared to other people who were closer to the Flathead Valley.",NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,Not Observed
