,location,Occurrence Time,Zone / Region,Observer Affiliation,Observation Date,Associated Observation,# Avalanches:,Aspect:,Aspect Range:,Elevation:,Destructive Size:,Type:,Problem Type:,Trigger:,Occurrence Date,Observer Name,Observer type,Latitude,Longitude,Avalanche Summary,Bed Surface:,Weak Layer Grain Type:,Slope Angle:,Vertical Fall:,Relative Size:,Width:,Terminus:,Weak Layer Burial Date:,Slab Thickness:,Caught/Carried:,Partly Buried-Not Critical:,Injured:
111,Hanging Tree/I Beam Ridge,14:00 (Exact),Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 30, 2024",View Observation,1,SW,,6800 ft,D1,WS-Wet Slab,Wet Slab,AS-Skier,"Jan 30, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,We were expecting to trigger one of this little slabs on our up track. Lots of little test slopes to use,O-Old Snow,FC-Faceted Crystals,38°,5 ft,R1,10 ft,,,30 cm (1 ft),,,
112,Peters Ridge,00:00 (Estimated),Swan Range,,"Jan 31, 2024",View Observation,1,SW,,6200 ft,D2.5,WS-Wet Slab,,N-Natural,"Jan 30, 2024 (Estimated)",,public,48.402214,-114.13365,Large WS avalanche S of Peter's Ridge.  Approximate locations of crowns highlighted.  Appears to have stripped most of the thin snowpack in this bowl.  Precise timing of this slid unknown but likely within the last 2-3 days.,,,,,,,,,,,,
113,Edwards,Not Reported,Flathead Range & Glacier NP,,"Feb 1, 2024",View Observation,1,W,,7000 ft,D2,,,N-Natural,"Jan 30, 2024 (Estimated)",,public,48.402214,-114.13365,,,,,,,,,,,,,
114,Skook face,Not Reported,Whitefish Range,Flathead Avalanche Center,"Feb 1, 2024",View Observation,1,S,"SE, S",6550 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 30, 2024 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,"A small point-release slide traveled 10 vertical feet before initiating the avalanche. The slab initially failed at a thin rocky convexity, where the snow depth today was 30cm. As the debris traveled down the slope, a wider and deeper slab pulled out. ",O-Old Snow,FC-Faceted Crystals,38°,300 ft,R2,125 ft,BP - Bottom of Path,"Dec 22, 2023",65 cm (2 ft),,,
115,"East Flattop Mountain, GNP",Not Reported,Other,GNP,"Jan 31, 2024",View Observation,1,SE,"E, S",7100 ft,D2.5,WS-Wet Slab,Wet Slab,N-Natural,"Jan 30, 2024 (Estimated)",,public,48.402214,-114.13365,Relatively thin snowpack combined with yesterday's unseasonably warm temperatures and solar radiation in the east flattop are resulted in this large natural avalanche. Initial slab triggered/ stepped down in several places on ramp and apron below. Debris did not cover historic apron or run to  end of trimlines. ,O-Old Snow,,,750 ft,R2,,MP - Middle of Path,,80 cm (2.5 ft),,,
116,Browns Bowl,00:00 (Estimated),Swan Range,,"Jan 31, 2024",View Observation,1,SW,,6500 ft,D2.5,WS-Wet Slab,,N-Natural,"Jan 30, 2024 (Estimated)",,public,48.402214,-114.13365,"Wet slab avalanche involving most of Browns Bowl.  Multiple thin crowns zig-zagged through the rocky terrain.  Red line on photo a loose approximation of what I could see through the scope and in photo.
Precise timing unknown but likely within the last 2-3 days. ",,,,,,,,,,,,
117,Rescue Creek,Not Reported,Flathead Range & Glacier NP,,"Feb 5, 2024",View Observation,3,SE,"E, S",5000 ft,D2.5,WS-Wet Slab,Wet Slab,N-Natural,"Jan 30, 2024 (Estimated)",,public,48.402214,-114.13365,"D2+ apparent wet loose SE aspect of penrose, toe at ~5000 ft. Crowns were observed along the path indicating penetration to persistent week later. ",,,,,,,,,,,,
118,Vaught,Not Reported,Flathead Range & Glacier NP,,"Feb 1, 2024",View Observation,1,S,,8000 ft,D3,,,N-Natural,"Jan 30, 2024 (Estimated)",,public,48.402214,-114.13365,,,,,,,,,,,,,
119,"Headwall below saddle, off Nyack Mtn.",Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 2, 2024",,3,NE,"NE, E",6800 ft,D2,HS-Hard Slab,Wet Slab,U-Unknown,"Jan 29, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,"Estimated, as fracture lines were seen through binoculars.",O-Old Snow,FC-Faceted Crystals,,,,,,"Dec 22, 2023",,,,
120,South face of Running Rabbit Mtn - Path 1163,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 29, 2024",View Observation,1,S,,7000 ft,D2,WL-Wet Loose,Wet Loose,N-Natural,"Jan 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Debris terminated well above the rail at about 4600',O-Old Snow,,45°,2500 ft,R2,,,,,,,
121,SE face Running Rabbit - Shed 10 Feeder,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 29, 2024",View Observation,1,SE,,6800 ft,D2,WL-Wet Loose,Wet Loose,N-Natural,"Jan 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Debris terminated at about 5300',O-Old Snow,,45°,1500 ft,R2,,,,,,,
122,Mount Stanton (Lookers Right),Not Reported,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),"Jan 30, 2024",View Observation,1,SW,,6800 ft,D3,WS-Wet Slab,Persistent Slab,NS-Triggered by Slab Avalanche,"Jan 29, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Wet slab avalanche released on the lookers right southwest face of Mount Stanton.,O-Old Snow,FC-Faceted Crystals,37°,1200 ft,R2,150 ft,MP - Middle of Path,"Dec 22, 2023",,,,
123,Strawberry Mountain,Not Reported,Flathead Range & Glacier NP,USGS,"Jan 30, 2024",View Observation,1,NW,,6500 ft,D2,WL-Wet Loose,,U-Unknown,"Jan 29, 2024 (Estimated)",,professional,48.402214,-114.13365,Spotted from a distance as a brown streak of debris.,,,,1700 ft,R2,50 ft,MP - Middle of Path,,,,,
124,Mount Stanton (Lookers Left),Not Reported,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),"Jan 30, 2024",View Observation,5,SW,,7000 ft,D3,WS-Wet Slab,Persistent Slab,NS-Triggered by Slab Avalanche,"Jan 29, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Wet slab avalanche released on the lookers left southwest face of Mount Stanton. Ran to the full vertical extent of the path.,O-Old Snow,FC-Faceted Crystals,37°,2700 ft,R3,1500 ft,BP - Bottom of Path,"Dec 22, 2023",,,,
125,Mount Stanton southeast gullies,Not Reported,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),"Jan 30, 2024",View Observation,3,SE,,6500 ft,D2.5,WL-Wet Loose,Wet Loose,NL-Triggered by Loose Snow Avalanche,"Jan 29, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Almost every steep gully on the southeast of Mount Stanton failed during this last cycle. Many of the gullies gouged to the ground.,G-Ground,MF-Melt Forms,40°,1500 ft,R3,,,,,,,
126,Strawberry Mountain,Not Reported,Flathead Range & Glacier NP,USGS,"Jan 30, 2024",View Observation,1,N,,6400 ft,D2.5,WS-Wet Slab,,U-Unknown,"Jan 29, 2024 (Estimated)",,professional,48.402214,-114.13365,It appears that a WL triggered a larger WS as it hit open snow. Still relatively shallow slab thickness due to low snowpack in the start zone.,,,,2000 ft,R2,75 ft,,,,,,
127,Mount Cannon,Not Reported,Other,Glacier National Park (Snow Ranger),"Jan 30, 2024",View Observation,1,S,,8000 ft,D3,WS-Wet Slab,Persistent Slab,NS-Triggered by Slab Avalanche,"Jan 29, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Wet slab avalanche released on the south face of Mount Cannon. The debris leapt over the massive cliff undercutting the upper face and triggered another slab avalanche in the middle of the path.,O-Old Snow,FC-Faceted Crystals,37°,3000 ft,R3,700 ft,U - Unknown,"Dec 22, 2023",,,,
128,Mount Vaught,Not Reported,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),"Jan 30, 2024",View Observation,1,S,,7000 ft,D3,WS-Wet Slab,Persistent Slab,NS-Triggered by Slab Avalanche,"Jan 29, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Wet slab avalanche on the south face of Mount Vaught.,O-Old Snow,FC-Faceted Crystals,40°,2800 ft,R2,250 ft,U - Unknown,"Dec 22, 2023",,,,
129,Garden Wall,Not Reported,Other,Glacier National Park (Snow Ranger),"Jan 30, 2024",View Observation,1,SW,,8000 ft,D2.5,,,NS-Triggered by Slab Avalanche,"Jan 29, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Faint slabs visible on the Garden Wall. difficult to decern in the lighting of this photo. But evident when actually viewing through the spotting scope.,,,,,,,,,,,,
130,Strawberry (Parsnip Peak),Not Reported,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),"Jan 30, 2024",View Observation,1,NW,,6600 ft,D2.5,WL-Wet Loose,Wet Loose,NL-Triggered by Loose Snow Avalanche,"Jan 29, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Wet snow avalanches on the paths to the east of West Glacier depot.,G-Ground,MF-Melt Forms,37°,2000 ft,R2,100 ft,U - Unknown,,,,,
131,Canyon creek trailhead in fiber glass,10:00 (Estimated),Whitefish Range,Swan Mountain Snowmobiling,"Jan 29, 2024",View Observation,5,SW,"W, SW, S",6100 ft,D2,WL-Wet Loose,Wet Loose,N-Natural,"Jan 29, 2024 (Estimated)",,professional,48.402214,-114.13365,,,,,400 ft,,,,,,,,
132,Noisy Basin,14:00 (Estimated),Swan Range,Flathead Avalanche Center,"Jan 30, 2024",View Observation,6,SW,"S, SW, SE",6500 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Jan 29, 2024 (Estimated)",Jeff Metsky,intern,48.402214,-114.13365,multiple small wet loose avalanches visible on southerly aspects of noisy creek.,O-Old Snow,,40°,300 ft,R1,40 ft,BP - Bottom of Path,,30 cm (1 ft),,,
133,Snowshed,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 30, 2024",View Observation,1,E,,7000 ft,D2,WS-Wet Slab,Wet Slab,N-Natural,"Jan 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,,O-Old Snow,FC-Faceted Crystals,,,R2,,U - Unknown,,,,,
134,North facing chute in Rescue Creek,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 2, 2024",View Observation,1,N,"N, NE",4800 ft,D1.5,WL-Wet Loose,Wet Loose,U-Unknown,"Jan 29, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,,,,,,,,,,,,,
135,Skook Chutes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Feb 1, 2024",View Observation,15,S,"SE, S",6100 ft,D1.5,WL-Wet Loose,Wet Loose,N-Natural,"Jan 29, 2024 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,"Multiple wet loose slides were observed in the Skook Chutes. Some of these slid on the ground, but their destructive potential was limited by the thin snowpack. It is difficult to determine if any of these are D2 because we cannot see the debris.",G-Ground,,37°,400 ft,R2,30 ft,BP - Bottom of Path,,,,,
136,Skook Chutes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Feb 1, 2024",View Observation,2,S,"SE, S",6000 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 29, 2024 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,"At least two wet slab avalanches were observed in the Skook Chutes. Both of these probably failed on buried facets resting on a crust from December. One slide is classified as D2, and the other appears to be a D1.5. ",O-Old Snow,FC-Faceted Crystals,37°,400 ft,R2,60 ft,BP - Bottom of Path,"Dec 22, 2023",40 cm (1.5 ft),,,
137,Above Marion,Not Reported,Flathead Range & Glacier NP,,"Feb 4, 2024",View Observation,5,S,,6200 ft,D2,WS-Wet Slab,,N-Natural,"Jan 29, 2024 (Estimated)",Zachary Miller,public,48.402214,-114.13365,Multiple WL-triggered-WS avalanche crowns observed in the lower aprons paths past Marion lake on S and SE aspects ~6200'. Assume these ran during the wet cycle last week. Clouds rolled in obscuring better views of runouts so size is estimated.,,,,,R3,50 ft,U - Unknown,,,,,
138,Penrose,Not Reported,Flathead Range & Glacier NP,,"Feb 2, 2024",View Observation,3,NE,"N, NE, E",7200 ft,D2.5,,,N-Natural,"Jan 29, 2024 (Estimated)",,public,48.402214,-114.13365,,,,,,R3,,,,,,,
139,Essex Creek,Not Reported,Flathead Range & Glacier NP,,"Feb 4, 2024",View Observation,6,S,,6200 ft,D2.5,WL-Wet Loose,,N-Natural,"Jan 29, 2024 (Estimated)",Zachary Miller,public,48.402214,-114.13365,Multiple (6 observed during ski out) WL and probably WS avalanches along Essex creek. 4 avalanches on South aspects (Essex Peak) and 2 avalanches on North aspects (from Snowshed). Could not see start zones on most paths and so unsure of crown lines but it seems as though a few had been wet slabs given the debris piles. Estimated size between D2 (4) and D3 (2) with medium diameter snapped trees in the debris. Many of the tracks above the debris piles/aprons are melted 95% out and we'd guess the avalanches cleaned out most of the season's snow in a few paths.,,,,1400 ft,R3,,BP - Bottom of Path,,,,,
140,East-facing slope off Penrose.,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 2, 2024",View Observation,1,E,,6600 ft,D2.5,,,U-Unknown,"Jan 29, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,"We can only guess where the crown might be on this slide. Based on the debris, the avalanche stepped down to the ground.",,,,,,,,"Dec 22, 2023",,,,
141,Swan Peak,Not Reported,Other,,"Jan 30, 2024",View Observation,4,NW,"NW, N",8400 ft,D2.5,SS-Soft Slab,,N-Natural,"Jan 29, 2024 (Estimated)",Rob Cherot via FAC,observer,48.402214,-114.13365,Several crowns on Swan Peak,,,,,R2,,,,,,,
142,West Side of Flathead Range,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 29, 2024",View Observation,3,W,,6000 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 28, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed 3 D2 avlanches that likely failed into old snow. All three failed mid-slope on west facing aspects. ,O-Old Snow,,,,,,,,,,,
143,skook chutes,Not Reported,Whitefish Range,,"Jan 29, 2024",View Observation,1,SW,,5500 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Jan 28, 2024 (Estimated)",,public,48.402214,-114.13365,Multiple natural point/wet slides.,I-New/Old Interface,,,300 ft,R1,,,,,,,
144,West Face of Mt. Penrose,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 29, 2024",View Observation,1,W,,6800 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 28, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Assuming this failed on facets above 12/22 crust. ,,,,,,,,,,,,
145,Brown Creek N of Strawberry Mtn.,03:30 (Estimated),Swan Range,Flathead Avalanche Center,"Jan 30, 2024",View Observation,1,SW,"SE, S, SW, W",6450 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 28, 2024 (Estimated)",Jeff Metsky,intern,48.402214,-114.13365,large avalanche that entrained most of the season's snowpack. it wrapped around several contour features and appeared to connect several rock outcroppings where snowpack was thin.,O-Old Snow,FC-Faceted Crystals,40°,1200 ft,R4,2600 ft,U - Unknown,"Dec 22, 2023",120 cm (4 ft),,,
146,Hangin Tree Main,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 30, 2024",View Observation,1,W,,6800 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 28, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,"Likely ran sometime on Sunday, Jan. 28th",O-Old Snow,FC-Faceted Crystals,45°,,R4,200 ft,,,50 cm (1.5 ft),,,
147,West face of Running Rabbit Mtn - I-Beam,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 29, 2024",View Observation,3,W,,7000 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 28, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,3 large crowns in the path just south of Goat Lick known as I-Beam. Many details are estimated. But looks like R2-4 and D2-3 sizes with crowns ranging from 400-800' wide. This path also threaten highway 2 but associated debris terminated well above the highway. We suspect failure layer is the FCs on top the late-Dec crust.,O-Old Snow,,40°,2000 ft,R3,500 ft,,,100 cm (3.5 ft),,,
148,North of Red Meadow Lake,16:45 (Estimated),Whitefish Range,,"Jan 28, 2024",View Observation,1,SW,,6300 ft,D2.5,WL-Wet Loose,Wet Loose,N-Natural,"Jan 28, 2024 (Estimated)",Craig Guthrie,public,48.402214,-114.13365,Slide occurred between ride to upper whitefish lake and return to red meadow lake back to north fork rd. ,O-Old Snow,,40°,650 ft,R3,250 ft,,,,,,
149,FR 115 north of Red Meadow Lake,17:00 (Estimated),Whitefish Range,,"Jan 28, 2024",View Observation,1,SE,,5700 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 28, 2024 (Estimated)",Craig Guthrie,public,48.402214,-114.13365,Happened between time traveled to upper white fish lake are return to north fork rd. ,O-Old Snow,,40°,500 ft,R3,250 ft,,,,,,
150,Two miles south of red meadow lake near previous side,16:00 (Estimated),Whitefish Range,,"Jan 28, 2024",View Observation,1,NW,,5750 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Jan 28, 2024 (Estimated)",Craig Guthrie,public,48.402214,-114.13365,"Traveled from red meadow to upper whitefish lake. On return trip, observed side on return trip",O-Old Snow,,30°,250 ft,R1,40 ft,,,,,,
151,Two miles south of Red Meadow Lake on FR 115,Not Reported,Whitefish Range,,"Jan 28, 2024",View Observation,1,SW,,5800 ft,D2,WL-Wet Loose,Wet Loose,N-Natural,"Jan 28, 2024 (Estimated)",Craig Guthrie,public,48.402214,-114.13365,Side happened between the night of 27 Jan and today. Adjacent to side reported on 25 Jan. Photo clearly shows the weak late from previous slide and reported slide. No observed crown and blocking FR 115. ,O-Old Snow,,35°,400 ft,R2,80 ft,,,,,,
152,West face of Running Rabbit Mtn - Goat Lick,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 29, 2024",View Observation,3,W,,7000 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 28, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,"3 separate hard slab avalanches, R2-4 and  D2-3 in size, crowns 400-600' wide. Many details are estimated at this point. Hope to investigate more this week. This path threatens Highway 2. Debris terminated well above the highway. We suspect the failure layer was the FCs on top the late-Dec crust",O-Old Snow,,40°,2000 ft,R3,500 ft,MP - Middle of Path,,100 cm (3.5 ft),,,
153,South of Red Meadow Lake on FR 115,05:00 (Estimated),Whitefish Range,,"Jan 25, 2024",View Observation,1,SW,,4772 ft,D2.5,WS-Wet Slab,Wet Slab,U-Unknown,"Jan 25, 2024 (Estimated)",Craig Guthrie,public,48.402214,-114.13365,Traveling south of FR 115 from Red Meadow Lake to Upper Whitefish Lake. SW aspect of mountain fractures through three separate draws.  Crown of avalanche was hard to see at places but clearly was over 100m long. Debris field was not contiguous but was five separate debris fields. Conducted beacon search through the debris field and no indication of a buried individual. Didn’t see any indications of ski or snowmobile tracks leading in or exiting. ,O-Old Snow,,35°,700 ft,R3,300 ft,,,95 cm (3 ft),,,
154,Red Meadow Road,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 24, 2024",View Observation,1,SE,,5400 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 22, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,"Large hard slab. Crown profile confirmed this failed on facets above the 12/22 crust. This may have been triggered by sluff, or the dead snag that was laying in the start zone with no snow on it. This appeared to have failed within the last couple of days. The snowpack at the crown was moist with wet facets/depth hoar. The crown averaged 2 to 4 feet thick. ",O-Old Snow,FC-Faceted Crystals,,400 ft,R5,400 ft,BP - Bottom of Path,"Dec 31, 2023",100 cm (3.5 ft),,,
155,North Fork,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 24, 2024",View Observation,8,E,"SE, E, N",3800 ft,D1.5,WL-Wet Loose,Wet Loose,N-Natural,"Jan 22, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed numerous D1-D1.5 wet loose avalanches. We assume these all failed during the last few days of warm temperatures and rain. ,,,,,,,,,,,,
156,North Fork,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 24, 2024",View Observation,3,SW,W,6000 ft,D2,WL-Wet Loose,Wet Loose,N-Natural,"Jan 21, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,"Observed a few large debris piles that came down near the river. Some terminated higher up. The upper start zones were obscured by clouds. Uncertain if these failed as slabs, or as point releases. Debris piles looked wet. ",,,,,,,,,,,,
157,Kimmerly,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 24, 2024",View Observation,1,S,,5000 ft,D1,SS-Soft Slab,,N-Natural,"Jan 21, 2024 (Estimated)",Rob Millspaugh,forecaster,48.402214,-114.13365,,,,,,R1,,,,,,,
158,East path off 6996. Otherwise known as The Big Run.,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 26, 2024",View Observation,1,E,E,5600 ft,D1.5,HS-Hard Slab,Persistent Slab,AS-Skier,"Jan 21, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,It appears to have been triggered by a skier or snowboarder in the past week.,O-Old Snow,FC-Faceted Crystals,,150 ft,R3,70 ft,,"Dec 22, 2023",40 cm (1.5 ft),,,
159,Shed 7 West,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 18, 2024",View Observation,1,E,,6500 ft,D2,SS-Soft Slab,,N-Natural,"Jan 18, 2024 (Exact)",Adam Clark,professional,48.402214,-114.13365,"Crown and debris mostly filled back in, but appeared to be pushing D2 size.",S-New Snow,,40°,700 ft,,,,,,,,
160,above beaver ponds,Not Reported,Whitefish Range,FAC,"Jan 20, 2024",View Observation,1,NE,,6450 ft,D1,SS-Soft Slab,Storm Slab,N-Natural,"Jan 18, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,,I-New/Old Interface,DF-Decomposing and Fragmented Particles,38°,50 ft,R1,75 ft,BP - Bottom of Path,"Jan 17, 2024",10 cm (0.5 ft),,,
161,Ghoulies,23:00 (Estimated),Whitefish Range,Flathead Avalanche Center,"Jan 19, 2024",View Observation,1,W,,5300 ft,D1,SS-Soft Slab,Storm Slab,N-Natural,"Jan 17, 2024 (Estimated)",Rob Millspaugh,forecaster,48.402214,-114.13365,,S-New Snow,,,,R1,,,,,,,
162,Hellroaring Peak,14:30 (Exact),Whitefish Range,Flathead Avalanche Center,"Jan 17, 2024",View Observation,1,SE,,6300 ft,D1,SS-Soft Slab,Storm Slab,AS-Skierc-Intentional,"Jan 17, 2024 (Exact)",blase reardon,forecaster,48.402214,-114.13365,"Thin, soft slab avalanche propagated from my bindings when I stopped just above a steep roadcut. Slab involved today's new snow. Bed surface was older, wind-hardened drift. The fracture extends out the right side of the image another 20 feet or so, and upslope. Notable propagation for such a thin slab. Perhaps a thin layer of facets sandwiched in there, though we didn't notice it. ",I-New/Old Interface,,38°,12 ft,R2,60 ft,BP - Bottom of Path,,10 cm (0.5 ft),,,
163,Stryker Ridge,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 17, 2024",View Observation,6,SE,"NE, E, SE, S",6000 ft,D1,SS-Soft Slab,Storm Slab,N-Natural,"Jan 17, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,,,,,,,,,,10 cm (0.5 ft),,,
164,Ghoulies,23:00 (Estimated),Whitefish Range,Flathead Avalanche Center,"Jan 19, 2024",View Observation,6,SE,,5300 ft,D1,SS-Soft Slab,Storm Slab,N-Natural,"Jan 17, 2024 (Estimated)",Rob Millspaugh,forecaster,48.402214,-114.13365,,S-New Snow,,,,R1,,,,,,,
165,Mount Shields east face,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 18, 2024",View Observation,1,E,,6500 ft,D2,U-Unknown,,N-Natural,"Jan 17, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Part of crown still visible. Could not view the runout. Looks like maybe failed on a more deeply buried weak layer?,,,40°,,R2,,,,,,,
166,Path 1163,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 18, 2024",View Observation,2,S,,6500 ft,D2,SS-Soft Slab,Storm Slab,N-Natural,"Jan 17, 2024 (Exact)",Adam Clark,professional,48.402214,-114.13365,At least a couple D1.5-2 size debris piles about halfway down the track. New snow had re-filled the crowns.,S-New Snow,,45°,1000 ft,,,MP - Middle of Path,,,,,
167,Old Highway 2 and the Rescue Creek summer hiking trail,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 19, 2024",View Observation,20,NE,"NE, N, NW",3700 ft,D1,SS-Soft Slab,Storm Slab,N-Natural,"Jan 17, 2024 (Exact)",Sarah Williams,forecaster,48.402214,-114.13365,"There was a thin, widespread soft slab avalanche cycle on steep slopes at low elevations. We observed these slides on steep cut banks above and below old Highway 2 and along the Rescue Creek summer trail. We assume these are storm slabs that occurred during a high-intensity precipitation event on January 17.",S-New Snow,,35°,25 ft,R2,30 ft,TP - Top of Path,,20 cm (0.5 ft),,,
168,Tunnel  Drainage,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 18, 2024",View Observation,9,E,"SE, E, NE",7000 ft,D2,SS-Soft Slab,Storm Slab,N-Natural,"Jan 17, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Tally of D2 soft slabs that failed on/near Mt. Grant and Mt. Liebig,,,,,,,,,,,,
169,Stryker,14:00 (Estimated),Whitefish Range,Flathead Avalanche Center,"Jan 17, 2024",View Observation,1,S,,6000 ft,D2,SS-Soft Slab,,U-Unknown,"Jan 17, 2024 (Exact)",Rob Millspaugh,forecaster,48.402214,-114.13365,,,,45°,600 ft,R3,750 ft,BP - Bottom of Path,,20 cm (0.5 ft),,,
170,Mt. Grant,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 18, 2024",View Observation,2,SE,E,7300 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 17, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed 2 recent slides with debris piles that looked to have gotten to D3.,,,,,,,,,,,,
171,Colorado Blvd,Not Reported,Other,Flathead Avalanche Center,"Jan 18, 2024",View Observation,6,SW,,3200 ft,D1.5,SS-Soft Slab,Persistent Slab,N-Natural,"Jan 17, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,"Numerous soft slabs failed along a roadcut near the dam. These were generally small, but debris ran onto the road cut and piled up deeper. ",,,,,,,,,,,,
172,Steep cut bank above the Middle Fork,03:00 (Estimated),Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 12, 2024",View Observation,1,E,,3800 ft,D1.5,SS-Soft Slab,,N-Natural,"Jan 12, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,New since yesterday evening,O-Old Snow,DH-Depth Hoar,45°,,R4,200 ft,,,15 cm (0.5 ft),,,
173,Mount Cannon,Not Reported,Other,Glacier National Park (Snow Ranger),"Jan 15, 2024",View Observation,1,S,,7300 ft,D1.5,L-Dry Loose,Dry Loose,N-Natural,"Jan 12, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,"Expected to have run sometime during the most recent storm. Generally appeared to be a dry loose avalanche, but also seemed as though there may have been a faint crown near the top of the bowl/base of the summit cliffs. Poor image quality.",S-New Snow,PP-Precipitation Particles,,800 ft,R1,,MP - Middle of Path,,,,,
174,Devils Hump,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 12, 2024",View Observation,2,E,,7000 ft,D1.5,SS-Soft Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,"At least a couple D1.5s, maybe larger on this face",I-New/Old Interface,,,,R1,,,,,,,
